Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_Sec,Flow_Packets_Sec,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_Sec,Bwd_Packets_Sec,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
80,101168794,20,1,969,0,353,0,48.45,119.0835509,0,0,0,0,9.578052299,0.207573889,5058439.7,18000000,79000000,2,101000000,5323696.105,18400000,79000000,2,0,0,0,0,0,0,0,0,0,728,40,0.197689418,0.009884471,0,353,44.04545455,114.1646586,13033.56926,0,1,0,0,0,0,0,0,0,46.14285714,48.45,0,0,0,0,0,0,0,20,969,1,0,-1,29200,3,0,739228.5,743103.4661,1264682,213775,49700000,41400000,79000000,20500000,DoS Hulk
60711,58,1,1,0,0,0,0,0,0,0,0,0,0,2,176182,58,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,17241.37931,17241.37931,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,60,33304,0,32,0,0,0,0,0,0,0,0,BENIGN
53,31146,4,2,148,244,37,37,37,0,122,122,122,0,36909,127126,6229.2,13406.25627,30200,1,30204,10068,17434.82346,30200,1,1,1,0,1,1,0,0,0,0,80,40,128.4274064,64.2137032,37,122,61.28571429,41.4757531,1720.238095,0,0,0,0,0,0,0,0,0,71.5,37,122,0,0,0,0,0,0,4,148,2,244,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
80,254704,3,4,429,389,423,0,143,242.50567,377,0,97.25,186.5214465,158570,157963,42450.66667,63132.97729,123916,4,130486,65243,83032.72089,123956,6530,130788,43596,75207.57252,130438,4,0,0,0,0,72,88,11.77837804,15.70450405,0,423,102.25,184.2069876,33932.21429,0,0,0,1,0,0,0,0,1,116.8571429,143,97.25,0,0,0,0,0,0,3,429,4,389,8192,237,2,20,0,0,0,0,0,0,0,0,BENIGN
443,11932077,12,16,5030,15703,1525,0,419.1666667,644.8965856,1793,0,981.4375,778.3777976,79335,133390,441928.7778,2120637.161,11049290,2,882787,80253.36364,68550.32003,241684,182,11846006,789733.7333,2839741.63,11049530,50,0,0,0,0,252,332,1.005692471,1.340923294,0,1793,714.9310345,764.3892021,584290.8522,0,0,0,1,0,0,0,0,1,740.4642857,419.1666667,981.4375,0,0,0,0,0,0,12,5030,16,15703,8192,100,11,20,0,0,0,0,0,0,0,0,BENIGN
80,43594593,6,1,199,0,168,0,33.16666667,66.55048209,0,0,0,0,4.56478628,0.160570372,7265765.5,17058424.17,42076895,47,43118136,8623627.2,18705851.52,42076895,47,0,0,0,0,0,0,0,0,0,192,40,0.137631747,0.022938625,0,168,24.875,58.30324054,3399.267857,0,1,0,0,0,0,0,0,0,28.42857143,33.16666667,0,0,0,0,0,0,0,6,199,1,0,-1,29200,3,0,477294,0,477294,477294,42076895,0,42076895,42076895,DoS slowloris
53,30597,1,1,49,177,49,49,49,0,177,177,177,0,281803,217935,30597,0,30597,30597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,32.68294277,32.68294277,49,177,91.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,137.5,49,177,0,0,0,0,0,0,1,49,1,177,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,15485522,11,1,748,0,374,0,68,151.2904491,0,0,0,0,48.30318281,0.774917371,1407774.727,2599246.022,8013363,134,12500000,1247998.9,2682301.752,8013363,134,0,0,0,0,0,0,0,0,0,376,40,0.710340924,0.064576448,0,374,57.53846154,140.4496442,19726.10256,0,1,0,0,0,0,0,0,0,62.33333333,68,0,0,0,0,0,0,0,11,748,1,0,-1,29200,2,0,7008534,0,7008534,7008534,8013363,0,8013363,8013363,DoS Hulk
80,39441739,13,1,314,0,314,0,24.15384615,87.08793081,0,0,0,0,7.961109423,0.354953923,3033979.923,10600000,38200000,3,1216329,101360.75,281395.3169,978462,3,0,0,0,0,0,0,0,0,0,420,20,0.329600072,0.025353852,0,314,20.93333333,81.07445138,6573.066667,0,0,1,0,0,0,0,0,0,22.42857143,24.15384615,0,0,0,0,0,0,0,13,314,1,0,-1,0,1,0,0,0,0,0,38200000,0,38200000,38200000,DoS Hulk
80,45839927,15,1,1034,0,357,0,68.93333333,142.9337842,0,0,0,0,22.55675494,0.349040695,3055995.133,9556553.115,37400000,4,44800000,3202512.214,9899804.895,37400000,4,0,0,0,0,0,0,0,0,0,528,40,0.327225652,0.021815043,0,357,60.82352941,135.6480903,18400.40441,0,1,0,0,0,0,0,0,0,64.625,68.93333333,0,0,0,0,0,0,0,15,1034,1,0,-1,29200,3,0,2168000,0,2168000,2168000,37400000,0,37400000,37400000,DoS Hulk
80,79719222,12,1,600,0,189,0,50,80.03976285,0,0,0,0,7.526415649,0.163072339,6643268.5,9496625.198,24671501,3,78720834,7156439.455,9784085.686,24671501,3,0,0,0,0,0,0,0,0,0,392,40,0.150528313,0.012544026,0,189,42.85714286,75.83165276,5750.43956,0,1,0,0,0,0,0,0,0,46.15384615,50,0,0,0,0,0,0,0,12,600,1,0,-1,29200,7,0,1459689,1243130.679,2342653,38077,18783202,5917397.772,24671501,10587946,DoS slowloris
80,3012233,2,1,0,0,0,0,0,0,0,0,0,0,0,0.995938893,1506116.5,717328.0097,2013344,998889,2013344,2013344,0,2013344,2013344,0,0,0,0,0,0,0,0,0,80,40,0.663959262,0.331979631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,29200,0,0,0,0,0,0,0,0,0,0,DoS slowloris
53,252,2,2,64,158,32,32,32,0,79,79,79,0,307949,114831,84,143.760217,250,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,7936.507937,7936.507937,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,322,2,2,60,264,30,30,30,0,132,132,132,0,6870,101823,107.3333333,93.47370397,186,4,4,4,0,4,4,186,186,0,186,186,0,0,0,0,64,64,6211.180124,6211.180124,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30,132,0,0,0,0,0,0,2,60,2,264,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,221871,5,1,338,0,338,0,67.6,151.1581953,0,0,0,0,1523.407746,27.04274105,44374.2,86233.07283,198311,1,206823,51705.75,97757.41897,198311,1,0,0,0,0,0,0,0,0,0,160,40,22.53561754,4.507123509,0,338,48.28571429,127.7519919,16320.57143,0,1,0,0,0,0,0,0,0,56.33333333,67.6,0,0,0,0,0,0,0,5,338,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
80,4004306,2,0,0,0,0,0,0,0,0,0,0,0,2,48470,4004306,0,4004306,4004306,4004306,4004306,0,4004306,4004306,0,0,0,0,0,0,0,0,0,64,0,0.499462329,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33304,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,62947831,13,1,677,0,355,0,52.07692308,127.2965446,0,0,0,0,10.75493769,0.222406392,4842140.846,17100000,61900000,3,62900000,5244702.167,17800000,61900000,3,0,0,0,0,0,0,0,0,0,484,40,0.206520221,0.015886171,0,355,45.13333333,119.2697223,14225.26667,0,1,0,0,0,0,0,0,0,48.35714286,52.07692308,0,0,0,0,0,0,0,13,677,1,0,-1,29200,2,0,494845,0,494845,494845,61900000,0,61900000,61900000,DoS Hulk
53811,65,1,1,0,0,0,0,0,0,0,0,0,0,2,169128,65,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15384.61538,15384.61538,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,939,33304,0,32,0,0,0,0,0,0,0,0,BENIGN
57832,2280,6,5,452,30,316,0,75.33333333,120.12438,6,6,6,0,108964,197200,228,532.9459009,1688,1,2280,456,754.8655509,1743,1,532,133,261.335034,525,1,1,0,0,0,192,100,2631.578947,2192.982456,0,316,66.5,118.001926,13924.45455,0,1,0,0,1,0,0,0,0,72.54545455,75.33333333,6,0,0,0,0,0,0,6,452,5,30,340,0,3,32,0,0,0,0,0,0,0,0,BENIGN
80,40830369,13,1,322,0,322,0,24.76923077,89.30673159,0,0,0,0,7.886286798,0.342882035,3140797.615,11200000,40600000,1,40800000,3401829.25,11700000,40600000,1,0,0,0,0,0,0,0,0,0,400,20,0.318390461,0.024491574,0,322,21.46666667,83.1400425,6912.266667,0,0,1,0,0,0,0,0,0,23,24.76923077,0,0,0,0,0,0,0,13,322,1,0,-1,0,1,0,29188,0,29188,29188,40600000,0,40600000,40600000,DoS Hulk
80,757,2,0,0,0,0,0,0,0,0,0,0,0,2,157258,757,0,757,757,757,757,0,757,757,0,0,0,0,0,0,0,0,0,64,0,2642.007926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,6,1,1,0,0,0,0,0,0,0,0,0,0,0,333333.3333,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.6667,166666.6667,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,DoS Hulk
53,384513,2,2,54,196,27,27,27,0,98,98,98,0,262951,88543,128171,221995.22,384509,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,64,64,5.201384609,5.201384609,27,98,55.4,38.88830158,1512.3,0,0,0,0,0,0,0,0,1,69.25,27,98,0,0,0,0,0,0,2,54,2,196,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,512,1,1,85,167,85,85,85,0,167,167,167,0,219834,182185,512,0,512,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1953.125,1953.125,85,167,112.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,168.5,85,167,0,0,0,0,0,0,1,85,1,167,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,308,2,2,62,242,31,31,31,0,121,121,121,0,324503,104214,102.6666667,137.4130028,259,1,48,48,0,48,48,1,1,0,1,1,0,0,0,0,40,40,6493.506494,6493.506494,31,121,67,49.29503018,2430,0,0,0,0,0,0,0,0,1,83.75,31,121,0,0,0,0,0,0,2,62,2,242,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,223413,6,1,344,0,344,0,57.33333333,140.4374119,0,0,0,0,1539.749254,31.33210691,37235.5,83240.36494,206848,2,210624,42124.8,92097.27757,206848,2,0,0,0,0,0,0,0,0,0,192,40,26.85609163,4.476015272,0,344,43,121.6223664,14792,0,1,0,0,0,0,0,0,0,49.14285714,57.33333333,0,0,0,0,0,0,0,6,344,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
80,119740909,18,1,895,0,299,0,49.72222222,114.4057822,0,0,0,0,7.474471402,0.158675929,6652272.722,16800000,55900000,3,117000000,6867344.176,17300000,55900000,3,0,0,0,0,0,0,0,0,0,656,40,0.150324565,0.008351365,0,299,44.75,109.2938458,11945.14474,0,1,0,0,0,0,0,0,0,47.10526316,49.72222222,0,0,0,0,0,0,0,18,895,1,0,-1,29200,3,0,1625536,1938210.8,2996058,255014,38700000,23400000,55900000,12000000,DoS Hulk
80,57153019,8,1,221,0,168,0,27.625,57.17376396,0,0,0,0,3.866812355,0.157471996,7144127.375,13281256.44,37098590,133,57152082,8164583.143,14002546.97,37098590,133,0,0,0,0,0,0,0,0,0,256,40,0.139975108,0.017496888,0,168,22.1,51.75036232,2678.1,0,1,0,0,0,0,0,0,0,24.55555556,27.625,0,0,0,0,0,0,0,8,221,1,0,-1,29200,5,0,2107282.5,2977385.532,4212612,1953,26469227,15032189.31,37098590,15839864,DoS slowloris
80,23200,1,1,0,0,0,0,0,0,0,0,0,0,2,237038,23200,0,23200,23200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.10344828,43.10344828,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,256,939,0,32,0,0,0,0,0,0,0,0,BENIGN
443,5747074,9,7,381,5276,194,0,42.33333333,69.39380376,1460,2,753.7142857,698.6727213,324127,139486,383138.2667,1422982.164,5526363,3,5747074,718384.25,1942907.163,5526363,3,144108,24018,36389.84097,81736,49,0,0,0,0,192,144,1.566014288,1.218011113,0,1460,332.7647059,563.3416514,317353.8162,0,0,0,1,0,0,0,0,0,353.5625,42.33333333,753.7142857,0,0,0,0,0,0,9,381,7,5276,8192,30016,8,20,220708,0,220708,220708,5526363,0,5526363,5526363,BENIGN
80,1215564,7,1,321,0,321,0,45.85714286,121.3265958,0,0,0,0,264.0749479,6.581307113,173652,370558.1999,1002916,2,212648,35441.33333,65709.00258,168580,2,0,0,0,0,0,0,0,0,0,268,40,5.758643724,0.822663389,0,321,35.66666667,107,11449,0,1,0,0,0,0,0,0,0,40.125,45.85714286,0,0,0,0,0,0,0,7,321,1,0,-1,29200,1,0,0,0,0,0,0,0,0,0,DoS Hulk
53,31206,2,2,68,182,34,34,34,0,91,91,91,0,294611,103404,10402,18013.32843,31202,1,1,1,0,1,1,3,3,0,3,3,0,0,0,0,64,64,64.09023906,64.09023906,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71,34,91,0,0,0,0,0,0,2,68,2,182,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
